City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Te Anau,-45.4167,167.7167,46.85,92,21,2.3,NZ,few clouds
1,Ushuaia,-54.8,-68.3,44.26,81,40,23.02,AR,scattered clouds
2,Nabire,-3.3667,135.4833,75.56,93,100,3.74,ID,overcast clouds
3,Hasaki,35.7333,140.8333,50.4,73,100,20.58,JP,overcast clouds
4,Derzhavinsk,51.1,66.3167,50.81,68,47,11.68,KZ,scattered clouds
5,Ribeira Grande,38.5167,-28.7,64.8,77,75,3.44,PT,broken clouds
6,Barrow,71.2906,-156.7887,19.42,93,100,18.41,US,overcast clouds
7,Cape Town,-33.9258,18.4232,62.11,77,0,12.66,ZA,clear sky
8,Qaanaaq,77.484,-69.3632,13.1,70,21,2.68,GL,few clouds
9,Norman Wells,65.282,-126.8329,46.44,46,75,17.27,CA,broken clouds
10,Bredasdorp,-34.5322,20.0403,57.24,92,0,4.72,ZA,clear sky
11,Ocampo,21.65,-101.5,78.73,13,46,11.79,MX,scattered clouds
12,Carbonear,47.7332,-53.2148,54.14,80,100,5.95,CA,overcast clouds
13,Bwanga,-3.0308,31.7601,65.55,92,100,4.68,TZ,overcast clouds
14,Provideniya,64.3833,-173.3,25.88,70,39,11.63,RU,scattered clouds
15,Klaksvik,62.2266,-6.589,47.32,90,82,21.45,FO,broken clouds
16,Tiksi,71.6872,128.8694,16.88,89,96,14.0,RU,overcast clouds
17,Kodiak,57.79,-152.4072,42.31,81,100,18.41,US,light rain
18,Kloulklubed,7.0419,134.2556,82.69,79,100,15.01,PW,overcast clouds
19,Busselton,-33.65,115.3333,57.27,85,26,1.23,AU,scattered clouds
20,Codrington,-38.2667,141.9667,58.75,82,100,8.75,AU,overcast clouds
21,Quelimane,-17.8786,36.8883,75.15,83,20,4.61,MZ,few clouds
22,Adrar,20.5022,-10.0711,87.35,10,1,6.13,MR,clear sky
23,Bilibino,68.0546,166.4372,6.84,84,60,2.44,RU,broken clouds
24,Portland,45.5234,-122.6762,61.61,72,75,5.75,US,broken clouds
25,Tura,25.5198,90.2201,70.14,96,100,4.23,IN,overcast clouds
26,Ixtapa,20.7,-105.2,92.86,23,88,9.08,MX,overcast clouds
27,Vaini,-21.2,-175.2,77.16,94,75,9.22,TO,broken clouds
28,Katsuura,35.1333,140.3,53.62,85,100,14.56,JP,overcast clouds
29,Fare,-16.7,-151.0167,80.67,73,5,11.7,PF,light rain
30,Bluff,-46.6,168.3333,44.8,86,14,9.44,NZ,few clouds
31,Chuy,-33.6971,-53.4616,64.44,52,0,10.36,UY,clear sky
32,Kulhudhuffushi,6.6221,73.07,85.19,75,99,16.22,MV,overcast clouds
33,Kaitangata,-46.2817,169.8464,47.66,94,14,4.85,NZ,few clouds
34,Saint-Philippe,-21.3585,55.7679,74.79,83,5,2.35,RE,clear sky
35,Jay,44.5039,-70.2162,69.26,49,96,5.12,US,overcast clouds
36,Sawtell,-30.3833,153.1,62.62,88,75,9.22,AU,broken clouds
37,Ambilobe,-13.2,49.05,74.14,95,84,3.22,MG,broken clouds
38,New Norfolk,-42.7826,147.0587,58.91,75,70,1.01,AU,broken clouds
39,Pullman,46.7313,-117.1796,54.23,90,100,5.99,US,overcast clouds
40,Albany,42.6001,-73.9662,69.03,26,100,1.99,US,overcast clouds
41,Teguise,29.0605,-13.564,66.42,68,20,21.85,ES,few clouds
42,Hermanus,-34.4187,19.2345,57.79,85,0,9.57,ZA,clear sky
43,Chernyshevskiy,63.0128,112.4714,5.85,95,12,3.76,RU,few clouds
44,Zilair,52.2332,57.4392,37.96,86,14,8.81,RU,few clouds
45,Graaff-Reinet,-32.2522,24.5308,61.29,42,0,1.77,ZA,clear sky
46,Acapulco,16.8634,-99.8901,84.02,65,0,5.75,MX,clear sky
47,Cidreira,-30.1811,-50.2056,66.65,72,100,8.5,BR,overcast clouds
48,Ust-Tsilma,65.441,52.1498,24.89,91,80,7.2,RU,broken clouds
49,Pailon,-17.65,-62.75,89.28,30,0,13.27,BO,clear sky
50,Rikitea,-23.1203,-134.9692,76.21,73,15,6.06,PF,light rain
51,Walvis Bay,-22.9575,14.5053,63.55,77,0,8.05,NA,clear sky
52,Hambantota,6.1241,81.1185,80.94,89,20,5.75,LK,few clouds
53,Hobart,-42.8794,147.3294,59.25,76,95,8.05,AU,overcast clouds
54,Sitka,57.0531,-135.33,46.29,76,100,11.5,US,light rain
55,Mataura,-46.1927,168.8643,44.47,98,9,2.75,NZ,clear sky
56,Shimoda,34.6667,138.95,52.11,84,100,9.82,JP,overcast clouds
57,Marovoay,-16.1,46.6333,80.56,73,53,3.74,MG,broken clouds
58,Talnakh,69.4865,88.3972,12.22,95,99,5.46,RU,overcast clouds
59,Pevek,69.7008,170.3133,2.35,85,89,5.3,RU,overcast clouds
60,Fairbanks,64.8378,-147.7164,52.09,44,0,9.22,US,clear sky
61,Souillac,-20.5167,57.5167,75.58,94,75,3.44,MU,broken clouds
62,Tuktoyaktuk,69.4541,-133.0374,33.8,80,0,11.5,CA,clear sky
63,Yellowknife,62.456,-114.3525,41.56,56,20,12.66,CA,few clouds
64,Puerto Escondido,15.85,-97.0667,88.25,58,60,10.31,MX,broken clouds
65,Kiunga,-6.1219,141.2906,72.5,97,68,1.74,PG,broken clouds
66,Ossora,59.2353,163.0719,26.47,89,75,2.13,RU,broken clouds
67,Lagoa,39.05,-27.9833,62.82,71,20,1.05,PT,few clouds
68,Talaya,61.3833,152.75,10.26,95,52,3.87,RU,broken clouds
69,Lazaro Cardenas,17.9583,-102.2,86.0,42,64,12.1,MX,broken clouds
70,Longyearbyen,78.2186,15.6401,13.84,73,75,4.61,SJ,light snow
71,Palmer,42.1584,-72.3287,71.58,28,20,5.75,US,few clouds
72,Fatsa,41.0278,37.5014,54.1,94,100,6.73,TR,overcast clouds
73,Punta Arenas,-53.15,-70.9167,50.11,71,40,16.11,CL,scattered clouds
74,Komsomolskiy,40.4272,71.7189,70.52,49,13,4.61,UZ,few clouds
75,Pangoa,-12.1167,-73.0,84.56,50,55,4.68,PE,broken clouds
76,Luderitz,-26.6481,15.1594,69.46,35,0,8.43,NA,clear sky
