City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Teya,60.3778,92.6267,14.81,96,77,1.14,RU,2022-04-26 23:27:56
1,Ushuaia,-54.8,-68.3,38.86,87,75,11.5,AR,2022-04-26 23:27:53
2,Olafsvik,64.8945,-23.7142,42.51,78,100,5.08,IS,2022-04-26 23:27:56
3,Ambunti,-4.2365,142.8448,83.05,72,84,2.06,PG,2022-04-26 23:27:57
4,Arequipa,-16.3989,-71.535,60.87,55,0,4.61,PE,2022-04-26 23:24:54
5,Kirakira,-10.4544,161.9205,83.82,75,67,7.25,SB,2022-04-26 23:27:57
6,Wilmington,34.2257,-77.9447,75.11,70,20,17.27,US,2022-04-26 23:27:57
7,Guiren,33.6697,118.1889,60.69,58,94,16.13,CN,2022-04-26 23:27:58
8,Bluff,-46.6,168.3333,55.8,78,83,8.93,NZ,2022-04-26 23:27:58
9,College,64.8569,-147.8028,51.75,43,75,4.61,US,2022-04-26 23:27:58
10,Bredasdorp,-34.5322,20.0403,54.91,78,1,2.98,ZA,2022-04-26 23:27:59
11,Iqaluit,63.7506,-68.5145,6.53,77,40,12.66,CA,2022-04-26 23:27:59
12,Clyde River,70.4692,-68.5914,7.03,85,20,14.97,CA,2022-04-26 23:27:59
13,Hilo,19.7297,-155.09,85.28,84,75,14.97,US,2022-04-26 23:28:00
14,Atuona,-9.8,-139.0333,78.87,76,17,20.54,PF,2022-04-26 23:28:00
15,Sosnovo-Ozerskoye,52.5249,111.5418,27.12,46,40,4.83,RU,2022-04-26 23:28:00
16,Tuktoyaktuk,69.4541,-133.0374,15.8,92,40,8.05,CA,2022-04-26 23:28:01
17,Victoria,22.2855,114.1577,82.45,82,4,4.0,HK,2022-04-26 23:24:39
18,Avarua,-21.2078,-159.775,84.25,79,20,8.05,CK,2022-04-26 23:26:08
19,Mar Del Plata,-38.0023,-57.5575,64.42,100,100,21.99,AR,2022-04-26 23:28:01
20,Mataura,-46.1927,168.8643,55.47,97,96,2.86,NZ,2022-04-26 23:28:01
21,Hasaki,35.7333,140.8333,70.2,89,100,21.99,JP,2022-04-26 23:28:02
22,Rikitea,-23.1203,-134.9692,78.22,69,100,20.49,PF,2022-04-26 23:28:02
23,Bengkulu,-3.8004,102.2655,76.53,89,46,3.69,ID,2022-04-26 23:24:04
24,Punta Arenas,-53.15,-70.9167,35.71,75,40,8.05,CL,2022-04-26 23:28:03
25,Hobart,-42.8794,147.3294,53.26,91,75,9.22,AU,2022-04-26 23:26:21
26,Kapaa,22.0752,-159.319,80.58,81,100,14.97,US,2022-04-26 23:28:03
27,Urumqi,43.801,87.6005,45.55,71,0,2.24,CN,2022-04-26 23:24:59
28,Necochea,-38.5473,-58.7368,66.92,90,99,10.18,AR,2022-04-26 23:28:03
29,Chicama,-7.8447,-79.1469,63.14,77,36,8.25,PE,2022-04-26 23:28:04
30,Vaini,-21.2,-175.2,78.96,65,20,13.8,TO,2022-04-26 23:26:06
31,Lebu,-37.6167,-73.65,49.86,81,7,8.34,CL,2022-04-26 23:24:09
32,Mayskiy,47.6931,40.1025,56.61,65,70,7.96,RU,2022-04-26 23:28:04
33,Ambon,-3.6954,128.1814,78.94,94,20,0.0,ID,2022-04-26 23:28:04
34,Cherskiy,68.75,161.3,32.32,90,98,5.59,RU,2022-04-26 23:28:05
35,Veraval,20.9,70.3667,79.63,77,0,11.86,IN,2022-04-26 23:25:23
36,Evensk,61.95,159.2333,29.23,93,100,2.91,RU,2022-04-26 23:28:05
37,Outjo,-20.1167,16.15,68.7,34,30,6.29,NA,2022-04-26 23:28:06
38,Saint-Philippe,-21.3585,55.7679,72.99,83,39,7.99,RE,2022-04-26 23:28:06
39,Jamestown,42.097,-79.2353,43.02,58,100,11.5,US,2022-04-26 23:28:06
40,Broken Hill,-31.95,141.4333,60.51,88,100,10.36,AU,2022-04-26 23:28:07
41,Torbay,47.6666,-52.7314,37.27,95,100,10.36,CA,2022-04-26 23:28:07
42,Touros,-5.1989,-35.4608,79.36,77,4,13.89,BR,2022-04-26 23:28:07
43,Hay River,60.8156,-115.7999,46.36,61,75,6.91,CA,2022-04-26 23:28:08
44,Mana,5.6592,-53.7767,78.44,89,100,6.22,GF,2022-04-26 23:28:08
45,Port Hardy,50.6996,-127.4199,46.58,71,100,11.5,CA,2022-04-26 23:28:08
46,Longyearbyen,78.2186,15.6401,1.24,78,40,5.75,SJ,2022-04-26 23:29:09
47,Butaritari,3.0707,172.7902,81.05,83,46,18.45,KI,2022-04-26 23:29:09
48,Mantes-La-Ville,48.9737,1.7025,50.77,72,83,10.94,FR,2022-04-26 23:29:10
49,Busselton,-33.65,115.3333,55.11,89,40,7.07,AU,2022-04-26 23:29:10
